class_a,class_b,similarity
Tomato leaf late blight,grape leaf,0.991
Peach leaf,grape leaf black rot,0.99
Bell_pepper leaf,grape leaf,0.99
Corn leaf blight,Corn rust leaf,0.989
Bell_pepper leaf,Potato leaf late blight,0.989
Potato leaf late blight,Potato leaf,0.989
Apple rust leaf,Bell_pepper leaf,0.988
Potato leaf late blight,Tomato Early blight leaf,0.987
Cherry leaf,Tomato leaf mosaic virus,0.987
Apple Scab Leaf,Bell_pepper leaf,0.986
Tomato leaf late blight,Tomato leaf mosaic virus,0.986
Apple Scab Leaf,Potato leaf late blight,0.985
Tomato Early blight leaf,Tomato leaf late blight,0.985
Potato leaf late blight,grape leaf,0.985
Potato leaf,Tomato leaf late blight,0.984
Potato leaf,Tomato leaf mosaic virus,0.984
Tomato Early blight leaf,grape leaf,0.984
Potato leaf,grape leaf,0.983
Bell_pepper leaf,Potato leaf,0.983
Tomato leaf mosaic virus,Tomato mold leaf,0.983
Bell_pepper leaf spot,Cherry leaf,0.982
Potato leaf,Tomato Early blight leaf,0.982
Apple Scab Leaf,Tomato Early blight leaf,0.982
Apple Scab Leaf,grape leaf,0.982
Tomato leaf mosaic virus,grape leaf,0.981
Apple rust leaf,Potato leaf late blight,0.981
Potato leaf late blight,Tomato leaf late blight,0.98
Bell_pepper leaf,Tomato leaf late blight,0.98
Tomato Early blight leaf,Tomato leaf mosaic virus,0.98
Apple Scab Leaf,Apple rust leaf,0.979
Tomato leaf late blight,Tomato leaf yellow virus,0.979
Corn leaf blight,Potato leaf late blight,0.979
Corn Gray leaf spot,Squash Powdery mildew leaf,0.979
Apple rust leaf,Corn rust leaf,0.979
Apple Scab Leaf,Tomato leaf late blight,0.979
Potato leaf late blight,Tomato leaf mosaic virus,0.978
Potato leaf,Tomato mold leaf,0.978
Corn rust leaf,Potato leaf late blight,0.978
Apple rust leaf,Tomato Septoria leaf spot,0.977
Cherry leaf,Potato leaf late blight,0.977
Blueberry leaf,Peach leaf,0.977
Apple rust leaf,Corn leaf blight,0.977
Strawberry leaf,grape leaf black rot,0.976
Cherry leaf,Potato leaf,0.976
Bell_pepper leaf,Tomato Early blight leaf,0.976
Tomato leaf late blight,Tomato mold leaf,0.976
Peach leaf,Strawberry leaf,0.976
Potato leaf late blight,Tomato Septoria leaf spot,0.975
Soyabean leaf,Tomato leaf late blight,0.975
Corn Gray leaf spot,Corn leaf blight,0.975
Bell_pepper leaf spot,Blueberry leaf,0.975
Blueberry leaf,Strawberry leaf,0.975
Cherry leaf,grape leaf,0.974
Corn leaf blight,Tomato Early blight leaf,0.973
Tomato mold leaf,grape leaf,0.973
Cherry leaf,Tomato leaf late blight,0.973
Bell_pepper leaf,Cherry leaf,0.972
Apple rust leaf,grape leaf,0.972
Blueberry leaf,Potato leaf late blight,0.972
Apple leaf,Peach leaf,0.971
Corn leaf blight,Tomato leaf mosaic virus,0.971
Apple Scab Leaf,Potato leaf,0.971
Soyabean leaf,grape leaf,0.971
Apple leaf,grape leaf black rot,0.971
Tomato leaf yellow virus,Tomato mold leaf,0.97
Blueberry leaf,Tomato Septoria leaf spot,0.97
Corn leaf blight,Potato leaf,0.97
Bell_pepper leaf,Blueberry leaf,0.97
Bell_pepper leaf,Corn leaf blight,0.97
Tomato Early blight leaf,Tomato mold leaf,0.97
Bell_pepper leaf,Soyabean leaf,0.97
Bell_pepper leaf spot,Strawberry leaf,0.969
Bell_pepper leaf spot,grape leaf,0.969
Bell_pepper leaf,Tomato leaf mosaic virus,0.969
Cherry leaf,Soyabean leaf,0.969
Corn rust leaf,Tomato Early blight leaf,0.969
Apple Scab Leaf,Corn leaf blight,0.968
Bell_pepper leaf spot,Potato leaf,0.968
Bell_pepper leaf spot,Bell_pepper leaf,0.968
Tomato leaf mosaic virus,Tomato leaf yellow virus,0.968
Apple rust leaf,Tomato Early blight leaf,0.968
Corn Gray leaf spot,Corn rust leaf,0.967
Corn leaf blight,grape leaf,0.967
Apple leaf,Tomato leaf bacterial spot,0.967
Cherry leaf,Tomato mold leaf,0.966
Apple rust leaf,Blueberry leaf,0.966
Peach leaf,Raspberry leaf,0.966
Blueberry leaf,grape leaf,0.966
Bell_pepper leaf,Tomato Septoria leaf spot,0.965
Apple Scab Leaf,Blueberry leaf,0.965
Apple Scab Leaf,Tomato leaf mosaic virus,0.965
Bell_pepper leaf spot,Tomato leaf mosaic virus,0.964
Blueberry leaf,Tomato leaf bacterial spot,0.964
Bell_pepper leaf,Corn rust leaf,0.964
Bell_pepper leaf spot,Soyabean leaf,0.963
Soyabean leaf,Strawberry leaf,0.963
Potato leaf,Tomato leaf yellow virus,0.963
Potato leaf late blight,Soyabean leaf,0.963
Bell_pepper leaf spot,Potato leaf late blight,0.963
Blueberry leaf,grape leaf black rot,0.963
Soyabean leaf,Tomato leaf bacterial spot,0.962
Blueberry leaf,Soyabean leaf,0.962
Strawberry leaf,Tomato leaf bacterial spot,0.962
Raspberry leaf,Tomato leaf,0.962
Peach leaf,Tomato Septoria leaf spot,0.962
Corn Gray leaf spot,Tomato mold leaf,0.962
Apple rust leaf,Potato leaf,0.962
Cherry leaf,Tomato Early blight leaf,0.961
Corn rust leaf,grape leaf,0.961
Corn rust leaf,Potato leaf,0.961
Potato leaf late blight,Tomato mold leaf,0.961
Tomato leaf bacterial spot,grape leaf,0.961
Squash Powdery mildew leaf,Tomato mold leaf,0.961
Corn leaf blight,Tomato mold leaf,0.961
Apple Scab Leaf,Tomato Septoria leaf spot,0.96
Blueberry leaf,Tomato Early blight leaf,0.959
Blueberry leaf,Cherry leaf,0.959
Apple Scab Leaf,Corn rust leaf,0.959
Raspberry leaf,Strawberry leaf,0.958
Bell_pepper leaf spot,Tomato leaf,0.958
Bell_pepper leaf spot,Tomato leaf late blight,0.958
Raspberry leaf,grape leaf black rot,0.958
Bell_pepper leaf,Tomato leaf bacterial spot,0.958
Tomato leaf yellow virus,grape leaf,0.958
Corn leaf blight,Tomato leaf late blight,0.957
Apple Scab Leaf,Soyabean leaf,0.957
Potato leaf,Soyabean leaf,0.956
Apple Scab Leaf,Tomato leaf bacterial spot,0.956
Soyabean leaf,Tomato leaf mosaic virus,0.956
Bell_pepper leaf,Tomato mold leaf,0.956
Corn rust leaf,Tomato Septoria leaf spot,0.956
Bell_pepper leaf spot,Raspberry leaf,0.955
Tomato Early blight leaf,Tomato Septoria leaf spot,0.955
Apple Scab Leaf,Cherry leaf,0.955
Cherry leaf,Tomato leaf,0.955
Cherry leaf,Corn leaf blight,0.955
Blueberry leaf,Potato leaf,0.955
Apple rust leaf,Tomato leaf late blight,0.954
Potato leaf,Tomato leaf,0.953
Apple leaf,Strawberry leaf,0.953
Cherry leaf,Tomato leaf yellow virus,0.953
Raspberry leaf,Tomato Septoria leaf spot,0.952
Corn leaf blight,Squash Powdery mildew leaf,0.951
Peach leaf,Tomato leaf bacterial spot,0.951
Bell_pepper leaf spot,Tomato Early blight leaf,0.95
Soyabean leaf,Tomato Early blight leaf,0.95
Corn leaf blight,Tomato Septoria leaf spot,0.95
Corn Gray leaf spot,Tomato leaf mosaic virus,0.95
Potato leaf late blight,Tomato leaf,0.95
Cherry leaf,Tomato leaf bacterial spot,0.95
Bell_pepper leaf spot,Peach leaf,0.95
Bell_pepper leaf spot,grape leaf black rot,0.95
Blueberry leaf,Raspberry leaf,0.95
Squash Powdery mildew leaf,grape leaf,0.949
Corn rust leaf,Tomato leaf mosaic virus,0.949
Tomato leaf bacterial spot,grape leaf black rot,0.949
Bell_pepper leaf spot,Tomato leaf bacterial spot,0.949
Blueberry leaf,Tomato leaf late blight,0.949
Tomato leaf bacterial spot,Tomato leaf late blight,0.948
Apple leaf,Blueberry leaf,0.948
Blueberry leaf,Tomato leaf mosaic virus,0.946
Apple Scab Leaf,Bell_pepper leaf spot,0.946
Tomato Septoria leaf spot,grape leaf black rot,0.946
Corn rust leaf,Tomato mold leaf,0.946
Corn Gray leaf spot,Tomato Early blight leaf,0.946
Soyabean leaf,Tomato leaf,0.946
Squash Powdery mildew leaf,Tomato leaf mosaic virus,0.945
Apple rust leaf,Tomato leaf mosaic virus,0.945
Apple rust leaf,Cherry leaf,0.945
Tomato leaf bacterial spot,Tomato leaf mosaic virus,0.945
Potato leaf late blight,Tomato leaf bacterial spot,0.945
Tomato Early blight leaf,Tomato leaf yellow virus,0.945
Bell_pepper leaf spot,Tomato mold leaf,0.945
Potato leaf,Tomato Septoria leaf spot,0.945
Cherry leaf,Tomato Septoria leaf spot,0.944
Corn rust leaf,Tomato leaf late blight,0.944
Soyabean leaf,Tomato leaf yellow virus,0.944
Corn Gray leaf spot,grape leaf,0.944
Cherry leaf,Strawberry leaf,0.943
Tomato Septoria leaf spot,grape leaf,0.943
Tomato leaf late blight,Tomato leaf,0.943
Blueberry leaf,Corn rust leaf,0.942
Bell_pepper leaf,Tomato leaf,0.942
Apple leaf,Cherry leaf,0.942
Apple rust leaf,Soyabean leaf,0.942
Apple rust leaf,Bell_pepper leaf spot,0.941
Apple rust leaf,Tomato leaf bacterial spot,0.941
Apple Scab Leaf,Tomato mold leaf,0.941
Squash Powdery mildew leaf,Tomato leaf late blight,0.941
Blueberry leaf,Corn leaf blight,0.941
Bell_pepper leaf,Strawberry leaf,0.94
Corn Gray leaf spot,Potato leaf late blight,0.94
Bell_pepper leaf,Peach leaf,0.94
Potato leaf,Tomato leaf bacterial spot,0.939
Corn rust leaf,Squash Powdery mildew leaf,0.939
Apple rust leaf,Peach leaf,0.938
Bell_pepper leaf spot,Tomato Septoria leaf spot,0.938
Potato leaf late blight,Tomato leaf yellow virus,0.938
